framenumber, query_x, query_y, objx, objy, distance, 
1, 77.712191, 113.269570, 152.871934, 18.950441, 0.379678, 
1, 77.712191, 113.269570, 54.986526, 108.683032, 0.230761, 
1, 61.641293, 78.736522, 11.894969, 61.585410, 0.170405, 
1, 87.390647, 7.900366, 14.916577, 102.407863, 0.495042, 
1, 102.096829, 73.007655, 99.694960, 29.572991, 0.159985, 
1, 110.977945, 48.764218, 54.986526, 108.683032, 0.298732, 
1, 44.460079, 95.922907, 53.040698, 99.879253, 0.166025, 
1, 61.947110, 68.751222, 70.098997, 72.664761, 0.081374, 
1, 122.542920, 30.941977, 54.986526, 108.683032, 0.397015, 
1, 53.034474, 68.312161, 30.265156, 69.873782, 0.206440, 
1, 111.918548, 53.692686, 153.027299, 111.021655, 0.324910, 
1, 29.233897, 74.332806, 60.266469, 79.761558, 0.128379, 
1, 51.657839, 75.453197, 60.266469, 79.761558, 0.066220, 
1, 51.657839, 75.453197, 60.266469, 79.761558, 0.054626, 
2, 42.045288, 52.376585, 86.591814, 92.224596, 0.165764, 
2, 96.879920, 26.944522, 86.591814, 92.224596, 0.178862, 
2, 66.256038, 38.982088, 76.664270, 70.501764, 0.371317, 
2, 144.570170, 9.231390, 64.212307, 99.281629, 0.393994, 
2, 62.616267, 73.606972, 71.203168, 77.625345, 0.167136, 
2, 75.333612, 61.765553, 153.265232, 111.012287, 0.288797, 
2, 108.915447, 33.094290, 99.643601, 29.547922, 0.251017, 
2, 44.087764, 95.839121, 53.278550, 99.893593, 0.159512, 
2, 61.813361, 68.696435, 69.786824, 72.659105, 0.075628, 
2, 123.436067, 31.446229, 55.182305, 108.670265, 0.486027, 
2, 145.812270, 22.303868, 153.265232, 111.012287, 0.201982, 
2, 29.040158, 74.352228, 60.149472, 79.758941, 0.123044, 
2, 51.380364, 75.403183, 60.149472, 79.758941, 0.052924, 
2, 51.380364, 75.403183, 60.149472, 79.758941, 0.048103, 
3, 41.964142, 52.376578, 86.769454, 92.177270, 0.155342, 
